CC Number,Date,Time,Accident Type,New Georeferenced Column
19CS00072041,04/12/2019,4/12/2019 7:45:00 PM,Injury Crash,"(38.98807, -76.35499)"
19CS00082980,04/28/2019,4/29/2019 1:46:00 AM,Injury Crash,"(39.244952, -76.577341)"
20CS00118175,07/16/2020,7/18/2020 5:35:00 AM,Property Damage Crash,"(39.07619522, -76.90696919)"
20CS00116936,07/14/2020,7/17/2020 11:10:00 PM,Property Damage Crash,"(39.08727726, -76.97976361)"
20CS00115004,07/11/2020,7/11/2020 1:18:00 AM,Property Damage Crash,"(39.2802, -76.5534)"
20CS00119386,07/19/2020,7/19/2020 10:00:00 AM,Property Damage Crash,"(39.20849856, -76.54320632)"
20CS00118037,07/16/2020,7/16/2020 3:01:00 PM,Injury Crash,"(39.26516, -76.56294)"
20CS00115168,07/11/2020,7/11/2020 11:45:00 AM,Injury Crash,"(39.26338, -76.66936)"
20CS00117401,07/15/2020,7/15/2020 1:43:00 PM,Injury Crash,"(39.32248699, -76.52940362)"
20CS00116103,07/13/2020,7/13/2020 10:30:00 AM,Injury Crash,"(39.08595, -77.0201)"
20CS00119132,07/18/2020,7/19/2020 4:42:00 PM,Injury Crash,"(38.35972073, -77.0112123)"
20CS00116381,07/13/2020,7/14/2020 10:12:00 PM,Property Damage Crash,"(39.2562031, -76.6767936)"
20CS00115728,07/12/2020,7/15/2020 5:12:00 PM,Injury Crash,"(39.3227294, -76.5228574)"
20CS00119392,07/19/2020,7/19/2020 10:21:00 AM,Property Damage Crash,"(39.26697243, -76.60735182)"
20CS00117486,07/15/2020,7/16/2020 5:15:00 PM,Property Damage Crash,"(39.26504314, -76.59276489)"
20CS00118208,07/16/2020,7/17/2020 11:30:00 PM,Property Damage Crash,"(39.26667, -76.5609)"
20CS00116622,07/14/2020,7/14/2020 10:36:00 AM,Property Damage Crash,"(39.2538286, -76.57154861)"
20CS00115733,07/12/2020,7/14/2020 5:20:00 PM,Property Damage Crash,"(39.3283, -76.52471)"
20CS00118631,07/17/2020,7/17/2020 3:51:00 PM,Injury Crash,"(38.98915936, -76.35976193)"
20CS00117213,07/15/2020,7/15/2020 8:30:00 AM,Property Damage Crash,"(39.243401, -76.5669347)"
20CS00116577,07/14/2020,7/14/2020 9:20:00 AM,Injury Crash,"(39.27080906, -76.64339077)"
20CS00117382,07/15/2020,7/15/2020 1:21:00 PM,Injury Crash,"(39.363612, -76.47357)"
20CS00115619,07/12/2020,7/12/2020 12:16:00 PM,Property Damage Crash,"(39.00507741, -76.40205157)"
20CS00118613,07/17/2020,7/18/2020 3:22:00 PM,Property Damage Crash,"(39.26697243, -76.60735182)"
P2000056154,09/28/2020,10/4/2020 5:00:00 PM,Property Damage Crash,"(39.19707871, -76.69077509)"
20CS00156397,09/26/2020,9/26/2020 2:55:00 PM,Property Damage Crash,"(39.00834181, -76.40405426)"
20CS00157389,09/28/2020,9/30/2020 3:58:00 PM,Property Damage Crash,"(39.27154374, -76.65216212)"
20CS00156264,09/26/2020,9/27/2020 7:20:00 AM,Injury Crash,"(39.2652, -76.5587)"
20CS00156983,09/27/2020,10/6/2020 9:00:00 PM,Property Damage Crash,"(39.29145, -76.56648)"
20CS00156269,09/26/2020,9/27/2020 7:43:00 AM,Injury Crash,"(39.2707922, -76.64566583)"
20CS00156608,09/27/2020,10/1/2020 12:47:00 AM,Injury Crash,"(39.267538, -76.619396)"
20CS00156301,09/26/2020,9/27/2020 9:54:00 AM,Property Damage Crash,"(39.33969, -76.51517)"
20CS00157009,09/27/2020,9/30/2020 10:14:00 PM,Property Damage Crash,"(39.2676, -76.62043)"
20CS00156465,09/26/2020,10/5/2020 5:17:00 PM,Property Damage Crash,"(39.209686, -76.540411)"
20CS00058239,04/10/2020,4/14/2020 7:46:00 AM,Injury Crash,"(39.270763, -76.655791)"
20CS00308472,05/15/2020,5/18/2020 11:15:00 AM,Property Damage Crash,"(39.00975549, -76.40438973)"
20CS00070807,04/29/2020,5/2/2020 1:57:00 PM,Property Damage Crash,"(39.25679064, -76.56957327)"
20CS00105989,06/26/2020,6/26/2020 1:01:00 PM,Injury Crash,"(39.29423, -76.53154)"
20CS00104071,06/23/2020,6/24/2020 12:14:00 PM,Property Damage Crash,"(39.2534, -76.5716)"
20CS00038781,03/09/2020,3/10/2020 5:22:00 AM,Property Damage Crash,"(39.29283717, -76.55309824)"
P2000024408,04/23/2020,4/24/2020 7:14:00 PM,Property Damage Crash,"(39.1862299, -76.68799742)"
20B000264,06/01/2020,6/1/2020 8:38:00 AM,Property Damage Crash,"(39.18369726, -76.67119713)"
20IR000474,05/04/2020,5/7/2020 1:49:00 AM,Property Damage Crash,"(39.12788398, -77.12028346)"
20CS00099925,06/16/2020,6/17/2020 12:29:00 PM,Property Damage Crash,"(39.2846848, -76.5353104)"
20CS00110505,07/03/2020,7/3/2020 4:18:00 PM,Property Damage Crash,"(38.36268, -76.9632)"
20CS00039261,03/10/2020,3/29/2020 10:30:00 AM,Property Damage Crash,"(39.267, -76.66494)"
20CS00074786,05/06/2020,5/6/2020 12:30:00 PM,Property Damage Crash,"(39.281244, -76.55158)"
20CS00106023,06/26/2020,7/1/2020 2:30:00 PM,Injury Crash,"(39.268513, -76.628579)"
20CS00109546,07/02/2020,7/2/2020 10:33:00 AM,Property Damage Crash,"(39.28306, -76.54957)"
20CS00097564,06/12/2020,6/12/2020 2:48:00 PM,Property Damage Crash,"(39.00365, -76.4012)"
20CS00039952,03/11/2020,3/11/2020 7:29:00 AM,Property Damage Crash,"(39.26365812, -76.56625887)"
20CS00052640,04/01/2020,4/13/2020 8:44:00 PM,Property Damage Crash,"(39.296841, -76.5505)"
20CS00082308,05/18/2020,5/19/2020 3:50:00 PM,Property Damage Crash,"(39.27943482, -76.55334504)"
20CS00087630,05/26/2020,5/30/2020 12:30:00 PM,Property Damage Crash,"(39.2847, -76.5352)"
20CS00091998,06/03/2020,6/3/2020 3:50:00 AM,Property Damage Crash,"(39.31542879, -76.53763785)"
20CS00094604,06/07/2020,6/9/2020 11:35:00 AM,Property Damage Crash,"(39.00616918, -76.40280602)"
20CS00049092,03/27/2020,3/28/2020 5:30:00 PM,Injury Crash,"(39.26514, -76.596195)"
20CS00042199,03/15/2020,3/15/2020 6:11:00 PM,Property Damage Crash,"(39.01980036, -76.41460168)"
20CS00114265,07/09/2020,7/15/2020 7:30:00 PM,Property Damage Crash,"(39.233408, -76.62022472)"
20CS00047411,03/24/2020,4/1/2020 4:51:00 PM,Property Damage Crash,"(39.08878, -76.99908)"
20CS00042035,03/15/2020,3/19/2020 3:01:00 AM,Property Damage Crash,"(39.08028378, -76.89961561)"
